technique_id,technique_name,tactic,platforms,subtechniques,parent_technique,groups,software,campaigns,data_sources,data_components,mitigations,detection_text,system_requirements,permissions_required,effective_permissions,stealth_score,noise_score,log_surface_area,privilege_stealth_factor,detection_difficulty,lolbin_usage,edr_visibility,cloud_visibility
T1213.002,Sharepoint,collection,Office Suite|Windows,,,G0004|G0007|G0114|G0125|G1004|G1024|G1055,S0227|S9009,C0027,,,M1017|M1018|M1047,,,,,10,0,0,1,unknown,,,
T1006,Direct Volume Access,stealth,Network Devices|Windows,,,G1015|G1017,S0404,C0051|C0063,,,M1018|M1040,,,,,10,0,0,1,unknown,,,
T1044,File System Permissions Weakness,persistence|privilege-escalation,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1588.007,Artificial Intelligence,resource-development,PRE,,,G0007|G1052,S9039,C0062|C0063,,,M1056,,,,,10,0,0,1,unknown,,,
T1666,Modify Cloud Resource Hierarchy,defense-impairment,IaaS,,,,,,,,M1018|M1047|M1054,,,,,10,0,0,1,unknown,,,
T1564.008,Email Hiding Rules,stealth,Linux|Office Suite|Windows|macOS,,,G0085|G1015,,,,,M1047,,,,,10,0,0,1,unknown,,,
T1491.002,External Defacement,impact,IaaS|Linux|Windows|macOS,,,G0034|G1003,,,,,M1053,,,,,10,0,0,1,unknown,,,
T1027.013,Encrypted/Encoded File,stealth,Linux|Windows|macOS,,,G0007|G0012|G0024|G0026|G0027|G0032|G0043|G0045|G0049|G0050|G0059|G0064|G0065|G0066|G0070|G0073|G0081|G0087|G0092|G0094|G0099|G0100|G0103|G0107|G0108|G0117|G0121|G0126|G0134|G0139|G1002|G1009|G1013|G1018|G1026|G1031|G1036|G1046|G1052|G1054,S0011|S0013|S0022|S0044|S0046|S0074|S0081|S0082|S0087|S0113|S0125|S0131|S0136|S0141|S0153|S0168|S0170|S0172|S0180|S0213|S0226|S0228|S0230|S0232|S0236|S0237|S0256|S0257|S0263|S0266|S0267|S0268|S0284|S0330|S0332|S0339|S0342|S0345|S0347|S0348|S0352|S0356|S0367|S0370|S0373|S0374|S0375|S0380|S0383|S0385|S0386|S0387|S0388|S0391|S0394|S0395|S0398|S0401|S0410|S0415|S0430|S0431|S0433|S0438|S0448|S0451|S0455|S0456|S0462|S0466|S0468|S0473|S0483|S0484|S0487|S0491|S0493|S0496|S0497|S0501|S0520|S0526|S0531|S0534|S0565|S0570|S0574|S0578|S0579|S0581|S0585|S0587|S0588|S0601|S0603|S0612|S0613|S0618|S0629|S0633|S0634|S0657|S0658|S0661|S0663|S0665|S0667|S0672|S0678|S0689|S0695|S0698|S1013|S1014|S1015|S1019|S1020|S1027|S1030|S1032|S1033|S1037|S1041|S1044|S1050|S1051|S1052|S1059|S1060|S1065|S1100|S1111|S1113|S1122|S1124|S1132|S1134|S1141|S1142|S1148|S1150|S1153|S1154|S1158|S1159|S1160|S1164|S1169|S1180|S1182|S1183|S1185|S1190|S1200|S1202|S1207|S1210|S1212|S1213|S1220|S1221|S1226|S1232|S1233|S1235|S1240|S1242|S1244|S1245|S1246|S1247|S1248|S1249|S9010|S9013|S9014|S9015|S9016|S9017|S9018|S9019|S9020|S9021|S9023|S9024|S9025|S9026|S9027|S9028|S9031|S9034|S9036|S9037,C0002|C0005|C0006|C0016|C0022|C0029|C0040|C0042|C0045|C0047|C0056|C0057|C0063,,,M1040|M1049,,,,,10,0,0,1,unknown,,,
T1171,LLMNR/NBT-NS Poisoning and Relay,credential-access,Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1590.005,IP Addresses,reconnaissance,PRE,,,G0059|G0125|G0138,,,,,M1056,,,,,10,0,0,1,unknown,,,
T1499.001,OS Exhaustion Flood,impact,Linux|Windows|macOS,,,,,,,,M1037,,,,,10,0,0,1,unknown,,,
T1014,Rootkit,stealth,Linux|Windows|macOS,,,G0007|G0044|G0096|G0106|G0139|G1048,S0009|S0012|S0022|S0027|S0040|S0047|S0135|S0221|S0377|S0394|S0397|S0430|S0458|S0468|S0484|S0502|S0572|S0601|S0603|S0670|S1105|S1186|S1219|S1220,C0046|C0056,,,,,,,,10,0,0,1,unknown,,,
T1546.013,PowerShell Profile,persistence|privilege-escalation,Windows,,,G0010,,,,,M1022|M1045|M1054,,,,,10,0,0,1,unknown,,,
T1059.007,JavaScript,execution,Linux|Windows|macOS,,,G0010|G0021|G0037|G0046|G0050|G0069|G0077|G0080|G0091|G0092|G0094|G0099|G0119|G0120|G0121|G0126|G0129|G0140|G1006|G1019|G1031|G1033|G1035|G1037|G1038|G1052,S0154|S0223|S0228|S0260|S0283|S0332|S0341|S0356|S0373|S0417|S0455|S0476|S0482|S0622|S0631|S0634|S0640|S0646|S0648|S0650|S0673|S0695|S1075|S1116|S1124|S1138|S1144|S1160|S1180|S1183|S1246|S1248|S1249|S9003|S9008|S9010|S9031|S9034,C0015|C0016|C0017|C0036|C0037,,,M1021|M1038|M1040|M1042,,,,,10,0,0,1,unknown,,,
T1685.003,Modify or Spoof Tool UI,defense-impairment,Linux|Windows|macOS,,,,S9014,,,,M1038,,,,,10,0,0,1,unknown,,,
T1590.002,DNS,reconnaissance,PRE,,,,,,,,M1054,,,,,10,0,0,1,unknown,,,
T1501,Systemd Service,persistence,Linux,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1485.001,Lifecycle-Triggered Deletion,impact,IaaS,,,,,,,,M1018|M1053,,,,,10,0,0,1,unknown,,,
T1514,Elevated Execution with Prompt,privilege-escalation,macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1123,Audio Capture,collection,Linux|Windows|macOS,,,G0067|G1055,S0021|S0098|S0115|S0143|S0152|S0163|S0192|S0194|S0213|S0234|S0240|S0257|S0260|S0282|S0283|S0332|S0334|S0336|S0338|S0339|S0379|S0409|S0434|S0438|S0454|S0467|S1016|S1090|S1146|S1185,,,,,,,,,10,0,0,1,unknown,,,
T1543,Create or Modify System Process,persistence|privilege-escalation,Containers|Linux|Windows|macOS,,,,S0401|S1121|S1142|S1152|S1184|S1194|S9015,,,,M1018|M1022|M1026|M1028|M1033|M1040|M1045|M1047|M1054,,,,,10,0,0,1,unknown,,,
T1133,External Remote Services,initial-access|persistence,Containers|Linux|Windows|macOS,,,G0004|G0007|G0016|G0026|G0027|G0034|G0035|G0049|G0053|G0065|G0093|G0094|G0096|G0099|G0102|G0114|G0115|G0139|G1003|G1004|G1015|G1016|G1017|G1024|G1040|G1041|G1047|G1055,S0362|S0599|S0600|S0601|S1060,C0002|C0004|C0012|C0014|C0024|C0027|C0028|C0032|C0046|C0063,,,M1021|M1030|M1032|M1035|M1042,,,,,10,0,0,1,unknown,,,
T1109,Component Firmware,persistence|stealth,Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1546.006,LC_LOAD_DYLIB Addition,persistence|privilege-escalation,macOS,,,,,,,,M1038|M1045|M1047,,,,,10,0,0,1,unknown,,,
T1539,Steal Web Session Cookie,credential-access,Linux|Office Suite|SaaS|Windows|macOS,,,G0030|G0034|G0094|G0120|G1014|G1015|G1033|G1044,S0467|S0492|S0531|S0568|S0631|S0650|S0657|S0658|S1111|S1140|S1146|S1148|S1201|S1207|S1213|S1240|S9003|S9010|S9020,C0024,,,M1017|M1021|M1032|M1047|M1051|M1054,,,,,10,0,0,1,unknown,,,
T1053.007,Container Orchestration Job,execution|persistence|privilege-escalation,Containers,,,,,,,,M1018|M1026,,,,,10,0,0,1,unknown,,,
T1568.002,Domain Generation Algorithms,command-and-control,ESXi|Linux|Windows|macOS,,,G0096|G0127,S0023|S0051|S0150|S0222|S0360|S0373|S0377|S0386|S0456|S0508|S0531|S0534|S0596|S0600|S0608|S0615|S0650|S0673|S1015|S1019|S1087|S9023,,,,M1021|M1031,,,,,10,0,0,1,unknown,,,
